variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,range,pct_non_null,description
rigor_residual_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.305 to 3.427,38.9,"rigor_score_v5 minus rigor_expected_ses -- rigor above/below SES expectation. Use for gap detection, NOT as a rigor measure. Correlation with poverty ~= 0"
overperformer_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1915 True / 43335 False,91.8,"TRUE = residual above its 90th percentile -- 'does a lot with little'. 343 of these are high-need schools, a 5x increase over the raw top tier"
rigor_n_components_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,0 to 9,91.8,"Count of the nine components present, as delivered in the workbook. Same construct as n_components"
rigor_weight_covered_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,0 to 1,91.8,"Share of index weight present, as delivered in the workbook. Same construct as weight_covered"
rigor_components_available_v5,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,128 distinct values,58.9,"Components present, as delivered in the workbook. Same construct as components_available"
rigor_weighting_scheme_v5,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1 distinct values,91.8,Identifier of the weight vector used. Constant across rows; provenance stamp
rigor_tier_method_v5,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1 distinct values,91.8,Tiering method used for the shipped tier (Jenks natural breaks). Constant across rows; provenance stamp
stem_breadth,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,0 to 4,29.1,"Count of four CRDC STEM offering flags, 0-4, derived input to C_stem_depth. 73% of public schools sit at 3 or 4 -- low discriminating power by design"
C_ap_opportunity,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.13 to 2.643,33.4,"Component z-score, weight 0.15 of 1.00. Sub-features: AP tests taken; tests offered; classes offered (band); take rate; Capstone flag. Null = component not reported by this school"
C_ap_performance,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-1.258 to 3.439,33.0,"Component z-score, weight 0.20 of 1.00. Sub-features: AP qualifying density QD = tests-per-student x P(score >= 3). Null = component not reported by this school"
C_advanced_access,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-1.293 to 4.308,30.6,"Component z-score, weight 0.10 of 1.00. Sub-features: AP participation (CRDC); dual-enrollment rate. Null = component not reported by this school"
C_ib,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-0.175 to 7.66,36.5,"Component z-score, weight 0.05 of 1.00. Sub-features: IB intensity IBint. Null = component not reported by this school"
C_stem_depth,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.413 to 0.7622,29.1,"Component z-score, weight 0.10 of 1.00. Sub-features: STEM breadth 0-4 (calculus, advanced math, chemistry, physics). Null = component not reported by this school"
C_test_performance,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.383 to 3.014,26.4,"Component z-score, weight 0.20 of 1.00. Sub-features: mean SAT; ACT composite (IL). Null = component not reported by this school"
C_test_participation,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-1.601 to 3.328,49.4,"Component z-score, weight 0.05 of 1.00. Sub-features: test-taker rate; SAT participation. Null = component not reported by this school"
C_college_placement,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.232 to 1.437,40.1,"Component z-score, weight 0.10 of 1.00. Sub-features: % to college; % to four-year (band midpoints). Null = component not reported by this school"
C_faculty_investment,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-5.353 to 3.776,33.7,"Component z-score, weight 0.05 of 1.00. Sub-features: % teachers certified; instructional spend per pupil. Null = component not reported by this school"
rigor_score,float64,etl/build_rigor_classification.py (v4 chain),school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-3.206 to 10.33,37.4,"v4 index score. SUPERSEDED -- present for comparison only, use rigor_score_v5"
rigor_tier_num,float64,etl/build_rigor_classification.py (v4 chain),school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,0 to 4,37.4,v4 tier number. SUPERSEDED -- use rigor_tier_num_v5
rigor_tier_label,object,etl/build_rigor_classification.py (v4 chain),school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,5 distinct values,37.4,"v4 tier label. SUPERSEDED -- use rigor_tier_label_v5. WARNING: unsuffixed name, easily mistaken for the shipped tier; it scores 18,412 schools and only 108 Most Demanding against v5's 22,869 and 1,441"
rigor_n_components_used,float64,etl/build_rigor_classification.py (v4 chain),school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,0 to 5,58.9,v4 component count. SUPERSEDED -- use rigor_n_components_v5
rigor_components_available,object,etl/build_rigor_classification.py (v4 chain),school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,22 distinct values,58.9,v4 components present. SUPERSEDED -- use rigor_components_available_v5
