variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,description,notes
total_enrollment,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"total student enrollment, all grades",
enrollment_9_12,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"enrollment, grades 9-12 only",
grade_9,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"enrollment, grade 9",
grade_10,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"enrollment, grade 10",
grade_11,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"enrollment, grade 11",
grade_12,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,"enrollment, grade 12",
frl_students,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,students eligible for free/reduced-price lunch (count),
fte_teachers,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,full-time-equivalent teacher count,
pupil_teacher_ratio,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,students per FTE teacher,
race_amind,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,American Indian/Alaska Native student count,
race_asian,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,Asian student count,
race_hisp,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,Hispanic/Latino student count,
race_black,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,Black student count,
race_white,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,White student count,
race_pacisl,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,Native Hawaiian/Pacific Islander student count,
race_twomore,double precision,NCES CCD (public) / PSS (private) enrollment & demographics,school,not confirmed in repo — ask Sheng,inferred,Two-or-more-races student count,
leaid,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,NCES district (LEA) ID,
rcdts,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,Illinois RCDTS district/school code,
isbe_summative_designation,text,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,ISBE state accountability designation,
title_i_status,text,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,Title I funding status,
act_ela_average_score_grade_11,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,"ACT English average score, grade 11 (IL only)",
act_math_average_score_grade_11,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,"ACT Math average score, grade 11 (IL only)",
act_science_average_score_grade_11,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,"ACT Science average score, grade 11 (IL only)",
iar_ela_proficiency_rate_total,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,Illinois Assessment of Readiness ELA proficiency rate,
iar_math_proficiency_rate_total,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,Illinois Assessment of Readiness Math proficiency rate,
count_cte_concentrators_total,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,Career & Technical Education concentrator count,
total_per_pupil_expenditures_federal,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,"per-pupil spending, federal funds",
total_per_pupil_expenditures_state_local,double precision,Illinois State Board of Education (ISBE) Report Card,school (Illinois only — NULL for other states),not confirmed in repo — ask Sheng which report-card year,inferred,"per-pupil spending, state + local funds",
religious_affiliation,double precision,NCES PSS Private School Universe Survey,school (private only),not confirmed in repo — ask Sheng,inferred,religious affiliation code (private schools),
coed,double precision,NCES PSS Private School Universe Survey,school (private only),not confirmed in repo — ask Sheng,inferred,coed / single-sex code,
religious_orientation,double precision,NCES PSS Private School Universe Survey,school (private only),not confirmed in repo — ask Sheng,inferred,religious orientation code,
ib_school_id,double precision,"IB World Schools list, fuzzy-matched by name/state",school,not confirmed in repo — ask Sheng,inferred,matched IB World School ID (IBO number),"match_tier flags confidence of the fuzzy match, not the data itself"
ib_match_tier,text,"IB World Schools list, fuzzy-matched by name/state",school,not confirmed in repo — ask Sheng,inferred,"confidence tier of the IB fuzzy name match (review-only, see source note)","match_tier flags confidence of the fuzzy match, not the data itself"
ceeb,text,CEEB crosswalk (UC Boulder ceeb_nces_crosswalk or equivalent — see data/CEEB-Crosswalk/README.md for the version used elsewhere in this repo),school,UC Boulder source last updated 2025-01-06 upstream; unclear if Sheng used this exact version,inferred,College Board CEEB code — the join key used to attach nu_master_org_data,"ceeb_match_tier/ceeb_needs_review flag match confidence — 1,415 CEEB codes in this file cover >1 school row"
ceeb_matched_name,text,CEEB crosswalk (UC Boulder ceeb_nces_crosswalk or equivalent — see data/CEEB-Crosswalk/README.md for the version used elsewhere in this repo),school,UC Boulder source last updated 2025-01-06 upstream; unclear if Sheng used this exact version,inferred,"school name as it appears in the CEEB crosswalk source, for the matched row","ceeb_match_tier/ceeb_needs_review flag match confidence — 1,415 CEEB codes in this file cover >1 school row"
ceeb_match_method,text,CEEB crosswalk (UC Boulder ceeb_nces_crosswalk or equivalent — see data/CEEB-Crosswalk/README.md for the version used elsewhere in this repo),school,UC Boulder source last updated 2025-01-06 upstream; unclear if Sheng used this exact version,inferred,method used to assign this CEEB (exact ID vs. fuzzy name match),"ceeb_match_tier/ceeb_needs_review flag match confidence — 1,415 CEEB codes in this file cover >1 school row"
ceeb_match_tier,text,CEEB crosswalk (UC Boulder ceeb_nces_crosswalk or equivalent — see data/CEEB-Crosswalk/README.md for the version used elsewhere in this repo),school,UC Boulder source last updated 2025-01-06 upstream; unclear if Sheng used this exact version,inferred,confidence tier of the CEEB match (auto_accept/review/reject),"ceeb_match_tier/ceeb_needs_review flag match confidence — 1,415 CEEB codes in this file cover >1 school row"
ceeb_needs_review,boolean,CEEB crosswalk (UC Boulder ceeb_nces_crosswalk or equivalent — see data/CEEB-Crosswalk/README.md for the version used elsewhere in this repo),school,UC Boulder source last updated 2025-01-06 upstream; unclear if Sheng used this exact version,inferred,TRUE if this row's CEEB match should be human-reviewed before trusting,"ceeb_match_tier/ceeb_needs_review flag match confidence — 1,415 CEEB codes in this file cover >1 school row"
grad_rate_2021,double precision,"EDFacts SY2020-21 Four-Year Adjusted Cohort Graduation Rate (File Spec 150/151, Data Group 695/696), U.S. Dept of Education",school,School Year 2020-2021,confirmed,"4-year adjusted cohort graduation rate, SY2020-21 (% or range)",Verified against data/updated-sheng/SY2021_FS150_FS151_DG695_DG696_SCH_data_files/. ED flags SY2020-21 as COVID-affected — use caution comparing to other years.
grad_rate_is_range,boolean,"EDFacts SY2020-21 Four-Year Adjusted Cohort Graduation Rate (File Spec 150/151, Data Group 695/696), U.S. Dept of Education",school,School Year 2020-2021,confirmed,TRUE if grad_rate_2021 is a suppressed range (e.g. 'GE95') rather than an exact %,Verified against data/updated-sheng/SY2021_FS150_FS151_DG695_DG696_SCH_data_files/. ED flags SY2020-21 as COVID-affected — use caution comparing to other years.
grad_cohort_n,double precision,"EDFacts SY2020-21 Four-Year Adjusted Cohort Graduation Rate (File Spec 150/151, Data Group 695/696), U.S. Dept of Education",school,School Year 2020-2021,confirmed,graduation cohort size (denominator for grad_rate_2021),Verified against data/updated-sheng/SY2021_FS150_FS151_DG695_DG696_SCH_data_files/. ED flags SY2020-21 as COVID-affected — use caution comparing to other years.
county_fips,text,"Census ACS 5-year estimates, county-level (inferred from field name)",county,not confirmed in repo — ask Sheng which ACS vintage,inferred,county FIPS code,
county_median_hh_income,double precision,"Census ACS 5-year estimates, county-level (inferred from field name)",county,not confirmed in repo — ask Sheng which ACS vintage,inferred,county median household income,
county_pct_bachelors_plus,double precision,"Census ACS 5-year estimates, county-level (inferred from field name)",county,not confirmed in repo — ask Sheng which ACS vintage,inferred,county % of adults with bachelor's degree or higher,
county_pct_poverty,double precision,"Census ACS 5-year estimates, county-level (inferred from field name)",county,not confirmed in repo — ask Sheng which ACS vintage,inferred,county poverty rate (all ages),
crdc_ap_offered,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,"school offers any AP course (CRDC, Y/N)","Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_ap_courses,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,number of distinct AP courses offered (CRDC SCH_APCOURSES),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_ap_enrollment,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,total AP course enrollment (CRDC TOT_APENR),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_dual_enr_offered,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,"school offers dual enrollment (CRDC, Y/N)","Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_dual_enrollment,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,dual enrollment count (CRDC),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_satact_takers,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,number of students taking SAT/ACT (CRDC),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_fte_counselors,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,FTE school counselors (CRDC),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
crdc_pct_teachers_certified,double precision,"Civil Rights Data Collection (CRDC), U.S. Dept of Education Office for Civil Rights",school,School Year 2021-2022,confirmed,% of teachers fully certified (CRDC),"Verified against data/updated-sheng/2021-22-crdc-data/SCH/Advanced Placement.csv column names (SCH_APCOURSES, TOT_APENR, etc.). CRDC uses -9/-6 sentinel codes for suppressed/not-applicable — confirm these were cleaned to NULL before trusting zeros."
assess_part_math_2021,double precision,"EDFacts SY2020-21 Statewide Mathematics Assessment Participation (File Spec 185, Data Group 588), U.S. Dept of Education",school,School Year 2020-2021,confirmed,"% participation, statewide math assessment, SY2020-21",Verified against data/updated-sheng/SY2021_FS185_DG588_SCH_data_files/. Participation varied widely in 2020-21 due to COVID — ED cautions against cross-year comparison.
assess_part_rla_2021,double precision,"EDFacts SY2020-21 Statewide Reading/Language Arts Assessment Participation (File Spec 188, Data Group 589), U.S. Dept of Education",school,School Year 2020-2021,confirmed,"% participation, statewide reading/language arts assessment, SY2020-21",Verified against data/updated-sheng/SY2021_FS188_DG589_SCH_data_files/. Same COVID-era caveat as assess_part_math_2021.
county_pct_child_poverty_saipe,double precision,"Census SAIPE (Small Area Income and Poverty Estimates), county-level",county,not confirmed in repo — ask Sheng which SAIPE release year,inferred,"county child (age 5-17) poverty rate, SAIPE","Distinct source from county_pct_poverty (likely ACS) — the two may disagree; SAIPE is model-based, ACS is direct-survey."
nu_last_visit,timestamp without time zone,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),date of last NU Admissions recruiting visit to this school (if any),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_guid,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),Bob's org export unique row ID (primary key of nu_master_org_data),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_ceeb,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),CEEB code as it appears in Bob's export (join key),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_name,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),org name per Bob's export,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_pct_seniors_taking_sat,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),% of seniors taking the SAT,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_pct_students_taking_ap,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),% of students taking at least one AP exam,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_ap_capstone_school,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),flagged as an AP Capstone school (Y/N),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_num_ap_tests_offered,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),average number of AP exams offered per student,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_num_ap_tests_taken,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),average number of AP exams taken per student,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_pct_frl,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),average % of students on free/reduced-price lunch,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_ap_score,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),average AP exam score (1-5 scale),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_freshman_sat,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"average SAT score, incoming freshmen","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_avg_senior_class_size,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),average senior class size,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_bie_school,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),Bureau of Indian Education school flag,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_crime_risk,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"Neighborhood crime risk percentile (1-100). NEED-CODED: high = worse (more risk), consistent with its plain-English name. Confirmed need-coded direction across all 5 socio fields 2026-07-17 -- see nu_median_family_income.","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_crime_risk_home_state,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"crime risk index, home-state benchmark","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_educational_attainment,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"Neighborhood educational attainment percentile (1-100). NEED-CODED despite the name: high = WORSE (less attainment), verified against external Census data (r=-0.55 vs county_pct_bachelors_plus). See nu_median_family_income for the full finding.","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_educational_attainment_home_state,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"educational attainment index, home-state benchmark","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_family_stability,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),Neighborhood family stability percentile (1-100). NEED-CODED despite the name: high = WORSE (less stable) -- confirmed via internal consistency (correlates 0.89 with the externally-validated need-coded median_family_income). See nu_median_family_income.,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_family_stability_home_state,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"family stability index, home-state benchmark","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_housing_stability,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),Neighborhood housing stability percentile (1-100). NEED-CODED despite the name: high = WORSE (less stable) -- confirmed via internal consistency (correlates 0.47-0.75 with the other externally-validated need-coded fields). See nu_median_family_income.,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_housing_stability_home_state,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"housing stability index, home-state benchmark","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_location_setting,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),urban/suburban/rural setting classification,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_median_family_income,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"Neighborhood median family income percentile (1-100). NEED-CODED despite the name: high = WORSE (lower income), verified externally against Census data (r=-0.60 vs county_median_hh_income). Confirmed 2026-07-17 that all 5 nu_* socio fields (crime_risk, educational_attainment, family_stability, housing_stability, median_family_income) share this need-coding: they correlate 0.38-0.91 with each other and move in the same direction as the two independently Census-validated fields, so all five are need-coded the same way -- not just the two we could check against an outside source. build_features.py reverse-codes all five (*_adv columns) and validates the sign on every run. No Bob/Sheng confirmation needed for this.","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_median_family_income_home_state,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"median family income, home-state benchmark","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_custom_id,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"Investigated 2026-07-17 (see BOB_BRIEFING.md): does NOT match any federal ID (0% match against NCES 7-digit school ID). 76.5% populated, not unique (84 dup values). Treat as an untrusted internal identifier from whatever system Bob's export originated in -- not usable as a join/crosswalk key. Investigating its duplicates surfaced a separate finding: 62 of 84 dup pairs share a CEEB leading-zero/trailing-zero shift bug -- see ceeb_suspected_padding_shift.","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_geo_cluster,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),NU Admissions internal recruiting geo-cluster code,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_geomarket,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),NU Admissions internal geomarket code,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_us_region,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),US recruiting region classification,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_nu_region,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),NU Admissions region classification,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_nu_sub_region,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),NU Admissions sub-region classification,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_ccid,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),unclear — likely another internal system ID (numeric). Ask Bob.,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
